HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
70,55,55,80,60,45
90,75,85,115,90,55
90,95,105,165,110,45
75,80,95,90,100,50
70,20,50,20,50,40
100,50,80,60,80,50
70,100,115,30,65,30
90,75,75,90,100,70
35,35,40,35,55,50
55,45,50,45,65,80
75,55,70,55,95,110
55,70,55,40,55,85
30,30,30,30,30,30
75,75,55,105,85,30
65,65,45,75,45,95
55,45,45,25,25,15
95,85,85,65,65,35
65,65,60,130,95,110
95,65,110,60,130,65
60,85,42,85,42,91
95,75,80,100,110,30
60,60,60,85,85,85
48,72,48,72,48,48
190,33,58,33,58,33
70,80,65,90,65,85
50,65,90,35,35,15
75,90,140,60,60,40
100,70,70,65,65,45
65,75,105,35,65,85
75,85,200,55,65,30
75,125,230,55,95,30
60,80,50,40,40,30
90,120,75,60,60,45
65,95,75,55,55,85
70,130,100,55,80,65
70,150,140,65,100,75
20,10,230,10,230,5
80,125,75,40,95,85
80,185,115,40,105,75
55,95,55,35,75,115
60,80,50,50,50,40
90,130,75,75,75,55
40,40,40,70,40,20
50,50,120,80,80,30
50,50,40,30,30,50
100,100,80,60,60,50
55,55,85,65,85,35
35,65,35,65,35,65
75,105,75,105,75,45
45,55,45,65,45,75
65,40,70,80,140,70
65,80,140,40,70,70
45,60,30,80,50,65
75,90,50,110,80,95
75,90,90,140,90,115
75,95,95,95,95,85
90,60,60,40,40,40
90,120,120,60,60,50
85,80,90,105,95,60
73,95,62,85,65,85
55,20,35,20,45,75
35,35,35,35,35,35
50,95,95,35,110,70
45,30,15,85,65,65
45,63,37,65,55,95
45,75,37,70,55,83
95,80,105,40,70,100
255,10,10,75,135,55
90,85,75,115,100,115
115,115,85,90,75,100
100,75,115,90,115,85
50,64,50,45,50,41
70,84,70,65,70,51
100,134,110,95,100,61
100,164,150,95,120,71
106,90,130,90,154,110
106,130,90,110,154,90
100,100,100,100,100,100
40,45,35,65,55,70
50,65,45,85,65,95
70,85,65,105,85,120
70,110,75,145,85,145
45,60,40,70,50,45
60,85,60,85,60,55
80,120,70,110,70,80
80,160,80,130,80,100
50,70,50,50,50,40
70,85,70,60,70,50
100,110,90,85,90,60
100,150,110,95,110,70
35,55,35,30,30,35
70,90,70,60,60,70
38,30,41,30,41,60
78,70,61,50,61,100
45,45,35,20,30,20
50,35,55,25,25,15
60,70,50,100,50,65
50,35,55,25,25,15
60,50,70,50,90,65
40,30,30,40,50,30
60,50,50,60,70,50
80,70,70,90,100,70
40,40,50,30,30,30
70,70,40,60,40,60
90,100,60,90,60,80
40,55,30,30,30,85
60,85,60,50,50,125
40,30,30,55,30,85
60,50,100,85,70,65
28,25,25,45,35,40
38,35,35,65,55,50
68,65,65,125,115,80
68,85,65,165,135,100
40,30,32,50,52,65
70,60,62,80,82,60
60,40,60,40,60,35
60,130,80,60,60,70
60,60,60,35,35,30
80,80,80,55,55,90
150,160,100,95,65,100
31,45,90,30,30,40
61,90,45,50,50,160
1,90,45,30,30,40
64,51,23,51,23,28
84,71,43,71,43,48
104,91,63,91,73,68
72,60,30,20,30,25
144,120,60,40,60,50
50,20,40,20,40,20
30,45,135,45,90,30
50,45,45,35,35,50
70,65,65,55,55,70
50,75,75,65,65,50
50,85,125,85,115,20
50,85,85,55,55,50
50,105,125,55,95,50
50,70,100,40,40,30
60,90,140,50,50,40
70,110,180,60,60,50
70,140,230,60,80,50
30,40,55,40,55,60
60,60,75,60,75,80
60,100,85,80,85,100
40,45,40,65,40,65
70,75,60,105,60,105
70,75,80,135,80,135
60,50,40,85,75,95
60,40,50,75,85,95
65,73,55,47,75,85
65,47,55,73,75,85
50,60,45,100,80,65
70,43,53,43,53,40
100,73,83,73,83,55
45,90,20,65,20,65
70,120,40,95,40,95
70,140,70,110,65,105
130,70,35,70,35,60
170,90,45,90,45,60
60,60,40,65,45,35
70,100,70,105,75,40
70,120,100,145,105,20
70,85,140,85,70,20
60,25,35,70,80,60
80,45,65,90,110,80
60,60,60,60,60,60
45,100,45,45,45,10
50,70,50,50,50,70
80,100,80,80,80,100
50,85,40,85,40,35
70,115,60,115,60,55
45,40,60,40,75,50
75,70,90,70,105,80
75,110,110,110,105,80
73,115,60,60,60,90
73,100,60,100,60,65
70,55,65,95,85,70
70,95,85,55,65,70
50,48,43,46,41,60
110,78,73,76,71,60
43,80,65,50,35,35
63,120,85,90,55,55
40,40,55,40,70,55
60,70,105,70,120,75
66,41,77,61,87,23
86,81,97,81,107,43
45,95,50,40,50,75
75,125,100,70,80,45
20,15,20,10,55,80
95,60,79,100,125,81
70,70,70,70,70,70
60,90,70,60,120,40
44,75,35,63,33,45
64,115,65,83,63,65
64,165,75,93,83,75
20,40,90,30,90,25
40,70,130,60,130,25
99,68,83,72,87,51
65,50,70,95,80,65
65,130,60,75,60,75
65,150,60,115,60,115
95,23,48,23,48,23
50,50,50,50,50,50
80,80,80,80,80,80
80,120,80,120,80,100
70,40,50,55,50,25
90,60,70,75,70,45
110,80,90,95,90,65
35,64,85,74,55,32
55,104,105,94,75,52
55,84,105,114,75,52
100,90,130,45,65,55
43,30,55,40,65,97
45,75,60,40,30,50
65,95,100,60,50,50
95,135,80,110,80,100
95,145,130,120,90,120
40,55,80,35,60,30
60,75,100,55,80,50
80,135,130,95,90,70
80,145,150,105,110,110
80,100,200,50,100,50
80,50,100,100,200,50
80,75,150,75,150,50
80,80,90,110,130,110
80,100,120,140,150,110
80,90,80,130,110,110
80,130,100,160,120,110
100,100,90,150,140,90
100,150,90,180,160,90
100,150,140,100,90,90
100,180,160,150,90,90
105,150,90,150,90,95
105,180,100,180,100,115
100,100,100,100,100,100
50,150,50,150,50,150
50,180,20,180,20,150
50,70,160,70,160,90
50,95,90,95,90,180
55,68,64,45,55,31
75,89,85,55,65,36
95,109,105,75,85,56
44,58,44,58,44,61
64,78,52,78,52,81
76,104,71,104,71,108
53,51,53,61,56,40
64,66,68,81,76,50
84,86,88,111,101,60
40,55,30,30,30,60
55,75,50,40,40,80
85,120,70,50,60,100
59,45,40,35,40,31
79,85,60,55,60,71
37,25,41,25,41,25
77,85,51,55,51,65
45,65,34,40,34,45
60,85,49,60,49,60
80,120,79,95,79,70
40,30,35,50,70,55
60,70,65,125,105,90
67,125,40,30,30,58
97,165,60,65,50,58
30,42,118,42,88,30
60,52,168,47,138,30
40,29,45,29,45,36
60,59,85,79,105,36
60,79,105,59,85,36
60,69,95,69,95,36
70,94,50,94,50,66
30,30,42,30,42,70
70,80,102,80,102,40
60,45,70,45,90,95
55,65,35,60,30,85
85,105,55,85,50,115
45,35,45,62,53,35
70,60,70,87,78,85
76,48,48,57,62,34
111,83,68,92,82,39
75,100,66,60,66,115
90,50,34,60,44,70
150,80,44,90,54,80
55,66,44,44,56,85
65,76,84,54,96,105
65,136,94,54,96,135
60,60,60,105,105,105
100,125,52,105,52,71
49,55,42,42,37,85
71,82,64,64,59,112
45,30,50,65,50,45
63,63,47,41,41,74
103,93,67,71,61,84
57,24,86,24,86,23
67,89,116,79,116,33
50,80,95,10,45,10
20,25,45,70,90,60
100,5,5,15,65,30
76,65,45,92,42,91
50,92,108,92,108,35
58,70,45,40,45,42
68,90,65,50,55,82
108,130,95,80,85,102
108,170,115,120,95,92
135,85,40,40,85,5
40,70,40,35,40,60
70,110,70,115,70,90
70,145,88,140,70,112
68,72,78,38,42,32
108,112,118,68,72,47
40,50,90,30,55,65
70,90,110,60,75,95
48,61,40,61,40,50
83,106,65,86,65,85
74,100,72,90,72,46
49,49,56,49,61,66
69,69,76,69,86,91
45,20,50,60,120,50
60,62,50,62,60,40
90,92,75,92,85,60
90,132,105,132,105,30
70,120,65,45,85,125
70,70,115,130,90,60
110,85,95,80,95,50
115,140,130,55,55,40
100,100,125,110,50,50
75,123,67,95,85,95
75,95,67,125,95,83
85,50,95,120,115,80
86,76,86,116,56,95
65,110,130,60,65,95
65,60,110,130,95,65
75,95,125,45,75,95
110,130,80,70,60,80
85,80,70,135,75,90
68,125,65,65,115,80
68,165,95,65,115,110
60,55,145,75,150,40
45,100,135,65,135,45
70,80,70,80,70,110
50,50,77,95,77,91
50,65,107,105,107,86
50,65,107,105,107,86
50,65,107,105,107,86
50,65,107,105,107,86
50,65,107,105,107,86
75,75,130,75,130,95
80,105,105,105,105,80
75,125,70,125,70,115
100,120,120,150,100,90
90,120,100,150,120,100
91,90,106,130,106,77
110,160,110,80,110,100
150,100,120,100,120,90
150,120,100,120,100,90
120,70,120,75,130,85
80,80,80,80,80,80
100,100,100,100,100,100
70,90,90,135,90,125
100,100,100,100,100,100
100,103,75,120,75,127
120,120,120,120,120,120
100,100,100,100,100,100
45,45,55,45,55,63
60,60,75,60,75,83
75,75,95,75,95,113
65,63,45,45,45,45
90,93,55,70,55,55
110,123,65,100,65,65
55,55,45,63,45,45
75,75,60,83,60,60
95,100,85,108,70,70
45,55,39,35,39,42
60,85,69,60,69,77
45,60,45,25,45,55
65,80,65,35,65,60
85,110,90,45,90,80
41,50,37,50,37,66
64,88,50,88,50,106
50,53,48,53,48,64
75,98,63,98,63,101
50,53,48,53,48,64
75,98,63,98,63,101
50,53,48,53,48,64
75,98,63,98,63,101
76,25,45,67,55,24
116,55,85,107,95,29
50,55,50,36,30,43
62,77,62,50,42,65
80,115,80,65,55,93
45,60,32,50,32,76
75,100,63,80,63,116
55,75,85,25,25,15
70,105,105,50,40,20
85,135,130,60,80,25
55,45,43,55,43,72
67,57,55,77,55,114
60,85,40,30,45,68
110,135,60,50,65,88
103,60,86,60,86,50
103,60,126,80,126,50
75,80,55,25,35,35
85,105,85,40,50,40
105,140,95,55,65,45
50,50,40,50,40,64
75,65,55,65,55,69
105,95,75,85,75,74
120,100,85,30,85,45
75,125,75,30,75,85
45,53,70,40,60,42
55,63,90,50,80,42
75,103,80,70,80,92
30,45,59,30,39,57
40,55,99,40,79,47
60,100,89,55,69,112
40,27,60,37,50,66
60,67,85,77,75,116
45,35,50,70,50,30
70,60,75,110,75,90
70,92,65,80,55,98
50,72,35,35,35,65
60,82,45,45,45,74
95,117,80,65,70,92
70,90,45,15,45,50
105,140,55,30,55,95
105,30,105,140,105,55
75,86,67,106,67,60
50,65,85,35,35,55
70,95,125,65,75,45
50,75,70,35,70,48
65,90,115,45,115,58
72,58,80,103,80,97
38,30,85,55,65,30
58,50,145,95,105,30
54,78,103,53,45,22
74,108,133,83,65,32
55,112,45,74,45,70
75,140,65,112,65,110
50,50,62,40,62,65
80,95,82,60,82,75
40,65,40,80,40,65
60,105,60,120,60,105
55,50,40,40,40,75
75,95,60,65,60,115
45,30,50,55,65,45
60,45,70,75,85,55
70,55,95,95,110,65
45,30,40,105,50,20
65,40,50,125,60,30
110,65,75,125,85,30
62,44,50,44,50,55
75,87,63,87,63,98
36,50,50,65,60,44
51,65,65,80,75,59
71,95,85,110,95,79
60,60,50,40,50,75
80,100,70,60,70,95
55,75,60,75,60,103
50,75,45,40,45,60
70,135,105,60,105,20
69,55,45,55,55,15
114,85,70,85,80,30
55,40,50,65,85,40
100,60,70,85,105,60
165,75,80,40,45,65
50,47,50,57,50,65
70,77,60,97,60,108
44,50,91,24,86,10
74,94,131,54,116,20
40,55,70,45,60,30
60,80,95,70,85,50
60,100,115,70,85,90
35,55,40,45,40,60
65,85,70,75,70,40
85,115,80,105,80,50
55,55,55,85,55,30
75,75,75,125,95,40
50,30,55,65,55,20
60,40,60,95,60,55
60,55,90,145,90,80
46,87,60,30,40,57
66,117,70,40,50,67
76,147,90,60,70,97
55,70,40,60,40,40
95,110,80,70,80,50
70,50,30,95,135,105
50,40,85,40,65,25
80,70,40,100,60,145
109,66,84,81,99,32
45,85,50,55,50,65
65,125,60,95,60,105
77,120,90,60,90,48
59,74,50,35,50,35
89,124,80,55,80,55
45,85,70,40,40,60
65,125,100,60,70,70
95,110,95,40,95,55
70,83,50,37,50,60
100,123,75,57,75,80
70,55,75,45,65,60
110,65,105,55,95,80
85,97,66,105,66,65
58,109,112,48,48,109
52,65,50,45,50,38
72,85,70,65,70,58
92,105,90,125,90,98
55,85,55,50,55,60
85,60,65,135,105,100
91,90,129,90,72,108
91,129,90,72,90,108
91,90,72,90,129,108
79,115,70,125,80,111
79,100,80,110,90,121
79,115,70,125,80,111
79,105,70,145,80,101
100,120,100,150,120,90
100,150,120,120,100,90
89,125,90,115,80,101
89,145,90,105,80,91
125,130,90,130,90,95
125,170,100,120,90,95
125,120,90,170,100,95
91,72,90,129,90,108
91,72,90,129,90,108
100,77,77,128,128,90
100,128,90,77,77,128
71,120,95,120,95,99
56,61,65,48,45,38
61,78,95,56,58,57
88,107,122,74,75,64
40,45,40,62,60,60
59,59,58,90,70,73
75,69,72,114,100,104
41,56,40,62,44,71
54,63,52,83,56,97
72,95,67,103,71,122
38,36,38,32,36,57
85,56,77,50,77,78
45,50,43,40,38,62
62,73,55,56,52,84
78,81,71,74,69,126
38,35,40,27,25,35
45,22,60,27,30,29
80,52,50,90,50,89
62,50,58,73,54,72
86,68,72,109,66,106
44,38,39,61,79,42
54,45,47,75,98,52
78,65,68,112,154,75
66,65,48,62,57,52
123,100,62,97,81,68
67,82,62,46,48,43
95,124,78,69,71,58
75,80,60,65,90,102
62,48,54,63,60,68
74,48,76,83,81,104
74,48,76,83,81,104
45,80,100,35,37,28
59,110,150,45,49,35
60,150,50,150,50,60
60,50,150,50,150,60
78,52,60,63,65,23
101,72,72,99,89,29
62,48,66,59,57,49
82,80,86,85,75,72
53,54,53,37,46,45
86,92,88,68,75,73
42,52,67,39,56,50
72,105,115,54,86,68
50,60,60,60,60,30
65,75,90,97,123,44
50,53,62,58,63,44
71,73,88,120,89,59
44,38,33,61,43,70
62,55,52,109,94,109
58,89,77,45,45,48
82,121,119,69,59,71
77,59,50,67,63,46
123,77,72,99,92,58
95,65,65,110,130,60
78,92,75,74,63,118
67,58,57,81,67,101
50,50,150,50,150,50
45,50,35,55,75,40
68,75,53,83,113,60
90,100,70,110,150,80
57,80,91,80,87,75
43,70,48,50,60,38
85,110,76,65,82,56
49,66,70,44,55,51
44,66,70,44,55,56
54,66,70,44,55,46
59,66,70,44,55,41
65,90,122,58,75,84
55,85,122,58,75,99
75,95,122,58,75,69
85,100,122,58,75,54
55,69,85,32,35,28
95,117,184,44,46,28
40,30,35,45,40,55
85,70,80,97,80,123
126,131,95,131,98,99
126,131,95,131,98,99
108,100,121,81,95,95
50,100,150,100,150,50
50,160,110,160,110,110
80,110,60,150,130,70
80,160,60,170,130,80
80,110,120,130,90,70
